"","A","B","C","D","E","F","G","H","I","J","y"
"1",0,0,0,0,0,0,0,0,0,0,94162.4342103951
"2",1,-1,1,-1,-1,1,1,-1,-1,1,85430.4431920484
"3",1,-1,1,1,1,-1,-1,-1,-1,1,114789.7884929
"4",1,-1,-1,-1,1,-1,1,-1,-1,-1,168404.074679807
"5",-1,1,1,1,1,-1,1,-1,1,1,93864.4175722393
"6",-1,1,1,1,1,-1,-1,-1,-1,1,100804.436108147
"7",-1,1,1,-1,-1,1,-1,-1,1,1,91181.8002616416
"8",1,1,1,1,-1,-1,-1,-1,1,-1,105319.683750747
"9",-1,-1,1,-1,1,1,-1,-1,-1,-1,95109.1292277511
"10",1,-1,-1,-1,1,-1,-1,-1,1,-1,95674.3254887099
"11",1,1,1,-1,1,-1,1,-1,-1,1,7964.08794183147
"12",-1,1,1,1,-1,-1,-1,1,-1,1,92309.4669080853
"13",-1,1,-1,1,-1,-1,1,-1,-1,1,84964.604725515
"14",1,-1,-1,-1,1,1,-1,-1,-1,1,105787.870180779
"15",-1,1,-1,1,1,1,-1,1,-1,-1,96727.5599990215
"16",-1,1,1,-1,-1,1,1,-1,-1,1,99113.41560776
"17",1,1,1,1,1,1,-1,1,-1,1,99986.2048852846
"18",1,1,-1,1,1,1,-1,-1,1,1,103747.233405045
"19",-1,1,1,1,-1,1,1,1,-1,-1,93352.1909529667
"20",1,1,-1,1,-1,-1,-1,1,-1,-1,76430.8509384366
"21",-1,-1,-1,-1,1,-1,-1,1,-1,1,81494.6161032887
"22",-1,-1,1,1,-1,-1,1,-1,-1,-1,226646.146069948
"23",-1,1,1,1,-1,1,-1,1,1,-1,112367.608734992
"24",1,1,1,-1,-1,1,1,1,1,-1,110516.130842412
"25",1,1,-1,1,-1,-1,1,1,1,-1,144420.676315146
"26",-1,-1,-1,-1,1,1,1,1,-1,-1,86303.7554470797
"27",-1,1,1,1,-1,-1,1,1,1,1,94593.097592766
"28",1,-1,1,1,-1,-1,-1,1,-1,1,98709.2367982085
"29",-1,1,-1,-1,1,-1,-1,-1,1,-1,86662.4152133763
"30",1,1,1,1,1,1,1,1,1,1,90553.5545584538
"31",1,1,1,-1,-1,-1,-1,1,1,1,96021.6186121903
"32",1,1,-1,1,-1,1,1,1,-1,1,89902.8738500192
"33",-1,-1,1,1,1,1,1,1,1,1,99059.6505609069
"34",-1,-1,-1,1,1,1,-1,-1,1,1,116120.847298579
"35",1,1,1,1,-1,1,1,-1,1,1,83919.176900405
"36",1,-1,-1,-1,-1,1,-1,1,-1,1,82615.1312348352
"37",1,1,-1,1,-1,1,-1,1,1,1,102608.606381304
"38",1,1,1,-1,1,1,-1,-1,-1,-1,99934.2418739574
"39",1,1,-1,-1,-1,1,1,-1,-1,-1,29662.9724960395
"40",-1,1,-1,1,-1,1,-1,-1,-1,-1,132699.235510642
"41",-1,1,1,-1,-1,-1,-1,-1,-1,-1,88741.5674896622
"42",-1,1,-1,1,1,-1,-1,1,1,1,103021.24117985
"43",1,-1,-1,1,1,1,-1,1,-1,-1,82569.4275919822
"44",-1,1,1,-1,1,1,-1,1,1,1,79884.555411775
"45",1,1,1,-1,-1,1,-1,1,-1,-1,86638.6694838437
"46",1,-1,1,-1,-1,-1,-1,-1,-1,-1,98046.8132894851
"47",1,-1,1,1,-1,1,-1,1,1,-1,91143.2630982149
"48",1,1,-1,-1,-1,-1,1,-1,1,1,101842.397544222
"49",1,-1,1,1,1,1,1,-1,-1,-1,89751.3084111557
"50",-1,1,-1,-1,1,1,-1,-1,-1,1,98313.9933160263
"51",1,-1,-1,1,1,-1,-1,1,1,1,95502.0661836726
"52",1,1,-1,-1,1,1,1,1,-1,-1,95214.5085307894
"53",-1,-1,1,1,-1,1,-1,-1,-1,1,13873.346507962
"54",1,1,1,-1,1,1,1,-1,1,-1,85945.0338088592
"55",-1,1,-1,-1,-1,1,-1,1,-1,1,112136.091698592
"56",-1,1,1,-1,1,-1,1,1,1,-1,103181.282643315
"57",-1,1,-1,-1,-1,-1,-1,1,1,-1,85075.2995886412
"58",1,-1,1,-1,1,1,-1,1,1,1,94614.1837142137
"59",-1,1,1,1,1,1,1,-1,-1,-1,87317.8769604852
"60",-1,1,-1,-1,-1,1,1,1,1,1,80831.7814235859
"61",-1,1,1,-1,1,-1,-1,1,-1,-1,82462.2486079087
"62",1,-1,-1,-1,1,1,1,-1,1,1,107984.821789461
"63",1,-1,1,1,-1,1,1,1,-1,-1,97085.1618682354
"64",-1,-1,-1,-1,-1,-1,-1,-1,-1,1,100846.001198402
"65",1,1,1,1,-1,-1,1,-1,-1,-1,97449.6797312708
"66",0,0,0,0,0,0,0,0,0,0,103535.347426836
"67",1,1,-1,1,1,1,1,-1,-1,1,58087.3454076702
"68",-1,-1,1,1,-1,1,1,-1,1,1,93794.125577933
"69",1,-1,1,-1,1,-1,1,1,1,-1,77307.8562872581
"70",1,1,1,-1,1,-1,-1,-1,1,1,97606.9670433716
"71",-1,1,-1,1,-1,-1,-1,-1,1,1,102499.323262954
"72",-1,1,-1,1,-1,1,1,-1,1,-1,99658.9019748568
"73",-1,1,-1,-1,1,1,1,-1,1,1,88919.9325270942
"74",-1,-1,-1,-1,-1,1,-1,-1,1,-1,93185.5196391525
"75",-1,-1,-1,-1,-1,1,1,-1,-1,-1,94222.5265752217
"76",1,1,1,1,1,-1,1,1,-1,-1,105889.966217519
"77",1,-1,-1,1,-1,1,-1,-1,-1,-1,88367.4285187752
"78",1,1,1,1,-1,1,-1,-1,-1,1,163305.109863267
"79",-1,-1,1,1,-1,-1,-1,-1,1,-1,96258.2879204194
"80",1,-1,1,-1,1,1,1,1,-1,1,109966.570963455
"81",-1,-1,-1,1,-1,1,-1,1,1,1,90709.2197618117
"82",1,-1,1,1,-1,-1,1,1,1,1,100392.014103671
"83",-1,-1,-1,1,-1,-1,-1,1,-1,-1,81829.2862643493
"84",1,1,1,-1,-1,-1,1,1,-1,1,76338.2980922421
"85",1,-1,1,-1,-1,-1,1,-1,1,-1,102775.417028221
"86",1,-1,-1,1,-1,1,1,-1,1,-1,95640.5585401843
"87",-1,-1,1,-1,1,-1,-1,-1,1,1,97722.0434963957
"88",-1,-1,-1,-1,-1,-1,1,-1,1,1,86187.3823516221
"89",1,-1,1,1,1,-1,1,-1,1,1,104711.033898608
"90",-1,-1,1,-1,-1,-1,1,1,-1,1,79184.8571558655
"91",-1,-1,1,1,1,1,-1,1,-1,1,85257.8732607939
"92",-1,1,1,-1,-1,-1,1,-1,1,-1,95347.5173897213
"93",1,-1,-1,-1,-1,-1,1,1,-1,-1,113205.610576282
"94",-1,-1,1,-1,1,1,1,-1,1,-1,36601.6115026985
"95",1,-1,-1,1,1,1,1,1,1,-1,88500.3600473149
"96",1,1,-1,-1,-1,1,-1,-1,1,-1,219584.155872249
"97",-1,-1,1,-1,-1,1,1,1,1,-1,-38330.1129720904
"98",1,1,-1,1,1,-1,-1,-1,-1,-1,97079.5868340135
"99",1,-1,1,-1,1,-1,-1,1,-1,-1,94218.9919020329
"100",1,1,-1,-1,1,-1,-1,1,-1,1,171852.400664022
"101",1,-1,-1,1,1,-1,1,1,-1,1,101682.22358314
"102",-1,-1,1,1,1,-1,1,1,-1,-1,149288.073401215
"103",-1,-1,-1,-1,1,-1,1,1,1,1,1099.03274815642
"104",-1,1,-1,1,1,-1,1,1,-1,1,91683.5389590629
"105",-1,-1,1,1,1,-1,-1,1,1,-1,109344.586234909
"106",-1,1,-1,1,1,1,1,1,1,-1,71726.271057596
"107",-1,1,1,-1,1,1,1,1,-1,1,103145.467052957
"108",-1,1,1,1,1,1,-1,-1,1,-1,101862.641560289
"109",-1,-1,-1,1,1,1,1,-1,-1,1,100456.860883449
"110",1,-1,-1,-1,-1,-1,-1,1,1,-1,98139.5453406205
"111",-1,-1,-1,1,1,-1,-1,-1,-1,-1,100165.041567745
"112",1,1,-1,-1,1,-1,1,1,1,1,91582.7567361828
"113",1,-1,1,1,1,1,-1,-1,1,-1,68414.444990267
"114",1,-1,-1,1,-1,-1,-1,-1,1,1,99097.2879912464
"115",-1,-1,1,-1,-1,1,-1,1,-1,-1,105099.346089255
"116",1,1,-1,-1,1,1,-1,1,1,-1,100279.993290742
"117",-1,-1,-1,1,1,-1,1,-1,1,-1,88796.3673916314
"118",1,-1,-1,-1,-1,1,1,1,1,1,111703.671973873
"119",1,-1,-1,1,-1,-1,1,-1,-1,1,94434.9971067884
"120",-1,-1,1,-1,1,-1,1,-1,-1,1,70707.9606009938
"121",1,1,-1,1,1,-1,1,-1,1,-1,99382.1760039699
"122",-1,-1,-1,1,-1,1,1,1,-1,1,101115.649539064
"123",-1,1,-1,-1,-1,-1,1,1,-1,-1,93660.5764050129
"124",1,1,1,1,1,-1,-1,1,1,-1,94525.0419382242
"125",1,-1,1,-1,-1,1,-1,-1,1,1,99980.5203293907
"126",-1,1,-1,-1,1,-1,1,-1,-1,-1,79924.2196241858
"127",-1,-1,1,-1,-1,-1,-1,1,1,1,103294.957843937
"128",-1,-1,-1,-1,1,1,-1,1,1,-1,208988.648308553
"129",1,1,-1,-1,-1,-1,-1,-1,-1,1,105614.053274966
"130",-1,-1,-1,1,-1,-1,1,1,1,-1,90420.5886056892
"131",0,0,0,0,0,0,0,0,0,0,80801.1448905027
"132",0,0,0,0,0,0,1,0,0,0,90467.2371249531
"133",1,0,0,0,0,0,0,0,0,0,80866.4974144805
"134",0,0,0,0,0,0,0,0,0,0,101005.709199072
"135",0,0,0,0,0,0,0,1,0,0,98846.5820303691
"136",0,0,0,0,0,1,0,0,0,0,198157.287419179
"137",0,0,0,0,1,0,0,0,0,0,147050.844727433
"138",0,0,0,-1,0,0,0,0,0,0,143636.680734008
"139",0,0,0,0,0,0,0,0,0,-1,102259.860255304
"140",0,0,0,0,0,0,0,0,0,0,79687.0583889595
"141",0,0,0,0,0,0,0,0,-1,0,95628.3295915757
"142",0,0,0,0,0,0,0,0,0,0,106239.811909534
"143",0,-1,0,0,0,0,0,0,0,0,106621.398059537
"144",0,1,0,0,0,0,0,0,0,0,94279.2411253137
"145",0,0,0,0,0,0,-1,0,0,0,88357.6818144502
"146",0,0,0,0,-1,0,0,0,0,0,74337.0098795292
"147",0,0,0,0,0,0,0,0,0,0,90513.4196373557
"148",0,0,0,0,0,0,0,0,0,1,89284.9967308447
"149",0,0,0,0,0,0,0,0,1,0,85209.9620048255
"150",0,0,0,0,0,0,0,-1,0,0,94391.5559012061
"151",0,0,0,1,0,0,0,0,0,0,73716.2903221838
"152",-1,0,0,0,0,0,0,0,0,0,92533.425948651
"153",0,0,-1,0,0,0,0,0,0,0,97186.295332374
"154",0,0,1,0,0,0,0,0,0,0,86852.8267886699
"155",0,0,0,0,0,-1,0,0,0,0,82431.6714792746
